N_id,crime_a,mvar_1,mvar_2,mvar_3,mvar_4,mvar_5,mvar_6,mvar_7,mvar_8,mvar_9,mvar_10,mvar_11,mvar_12,mvar_13,mvar_14,mvar_15,mvar_16,mvar_17,mvar_18,mvar_19,mvar_20,mvar_21,mvar_22,mvar_23,mvar_24,mvar_25,mvar_26,mvar_27,mvar_28,mvar_29,mvar_30,mvar_31,mvar_32,mvar_33,mvar_34,mvar_35,mvar_36,mvar_37,mvar_38,mvar_39,mvar_40
SID_6,Crime 1,37.90436256,0,,0,0,1,6,104.787408,5,0,3,154.653938,7,0,0,0,0,0.065217391,,260.000026,0,2,14,526.0359209,0,14.7005423,,0,1,4.011283275,0.037779019,63.72165851,0,,3,0,7.902168923,50.91387081,0,1
SID_7,Crime 1,23.6902266,0,,3,0,2,5,10.12382072,3,0,8,172.7923628,2,0,,5.555555556,,0.02173913,25.50200803,160.000016,0,0,6,354.9234518,2,,0,0,5,17.29066906,0.15204725,3.928952002,0,,0,0,21.20229831,53.84076114,,5
SID_22,Crime 1,1039.811426,0,,3,0,1,9,13.71986392,1,0,1,227.2076372,10,0,1,33.33333333,0,0.004347826,,120.000012,0,0,5,322.8597052,30,49.54534308,0,2,1,21.50352165,5.269275281,205.9233079,0,,2,1,587.8211995,54.97245869,94.3001635,4
SID_23,Crime 1,14.21413596,,,2,0,5,4,17.1539869,2,0,6,,17,0,,0,,,,192.0000192,,2,9,,30,,,0,0,,,0,0,,0,0,,,,18
SID_27,Crime 1,591.3080559,0,,1,0,1,0,27.30590478,4,0,5,105.0119332,2,0,0,16.66666667,0,0.014492754,,400.00004,1,1,4,317.1453742,0,7.111951779,0,1,1,22.45271565,0.681872601,936.8734622,0,,0,0,209.1848802,55.75363045,118.6356896,6
SID_28,Crime 1,,,,6,0,4,1,105.8188227,0,,1,185.202864,2,0,0,0,0,0.02173913,,76.80000768,0,1,10,,0,0,,,,,,0,1,,2,,,,0,34
SID_29,Crime 1,186.8211269,0,,3,0,2,5,56.17257277,0,0,1,90.69212411,1,0,0,11.11111111,149.0666667,0.031055901,,75.0000075,0,0,5,317.1453742,0,32.46160706,,0,1,23.08407089,1.806591317,315.7688819,0,20.17864663,0,0,159.6572017,55.11767652,205.3310012,36
SID_32,Crime 1,,,,5,,2,7,62.49777178,1,,0,,8,0,,,,,,24.0000024,,2,2,,,,,,,,,,1,,2,,,,,
SID_33,Crime 1,1451.026379,0,2433.092968,7,0,3,9,81.40282577,3,0,4,173.7470167,2,0,1,16.66666667,1333.333333,0.015810277,,252.0000252,0,2,4,337.1455329,0,177.1214657,0,3,1,14.27288162,2.22579506,507.4951363,0,,3,3,453.1504334,54.61191788,101.9050154,14
SID_35,Crime 1,2970.991318,0,,2,0,4,1,30.63847887,1,0,2,372.3150358,5,0,0,0,13760,0.013043478,,3600.00036,0,4,18,1460.011587,30,1352.587866,,1,3,2.598450138,0.19694967,2018.887034,0,,2,0,499.8400089,51.0909221,0,0
SID_38,Crime 1,203.7359487,0,,4,0,1,2,25.72354658,4,0,3,162.2911695,8,1,0,11.11111111,0,0.007246377,17.17983043,100.00001,0,3,2,373.3362963,0,18.52619538,,0,1,17.75975419,1.780440806,38.86030677,0,24.57610213,0,0,173.7920672,54.04773827,47.15008175,17
SID_42,Crime 1,47.38045319,0,,1,0,0,0,88.63263558,4,0,3,166.1097852,0,0,0,0,0,0.010869565,6.459170013,140.000014,0,5,2,401.9079517,30,33.22673768,0,0,2,20.17914405,2.54343257,88.74809227,0,9.239976062,1,0,319.2031052,54.6633676,167.3067417,3
SID_44,Crime 1,,,,2,0,6,2,224.1277308,2,,2,252.0286396,1,0,0,0,0,0,,132.0000132,0,1,1,,30,0,,,,,,13.7348238,1,,2,,,,0,
SID_47,Crime 1,10935.97716,0,,0,0,0,2,94.17291197,1,0,6,330.3102625,1,0,0,0,1333.333333,0.013457557,0,240.000024,0,0,9,366.9870396,30,136.6197157,0,13,1,5.478658326,1.421559126,3984.78274,0,0,3,7,277.5219466,51.23729283,2016.806723,10
SID_56,Crime 1,28.42827192,,,5,0,1,10,71.3505168,3,0,1,188.0668258,3,0,0,0,0,0.005434783,,72.0000072,0,1,8,,29,0,0,0,0,,,0.627311664,1,,1,0,0,,0,
SID_59,Crime 1,1202.32638,1,,1,0,0,3,6.362298318,2,0,0,212.8878282,2,0,2,22.22222222,0,0.001672241,,176.0000176,0,1,3,523.4962182,0,100.5080593,,3,7,10.84885349,4.843577715,318.9384566,0,,3,1,851.8760695,55.45671448,100.384045,
SID_71,Crime 1,,,,0,,2,0,27.76026804,1,,7,,5,0,,,,,,48.0000048,,1,2,,,,,,,,,,1,,1,,,,,
SID_75,Crime 1,14.21413596,,,1,0,0,1,19.740253,0,0,3,,3,0,,0,,,,80.000008,,1,14,,0,,,0,0,,,0,0,,1,0,0,,,5
