D_4,DV_ID_4, 0
D_5,DV_ID_5, 0
D_6,DV_ID_6, 0
D_20,DV_ID_20, 0
D_23,DV_ID_23, 0
D_24,DV_ID_24, 0
D_27,DV_ID_27, 0
D_29,DV_ID_29, 0
D_30,DV_ID_30, 0
D_34,DV_ID_34, 0
D_41,DV_ID_41, 0
D_42,DV_ID_42, 0
D_53,DV_ID_53, 0
D_61,DV_ID_61, 0
D_62,DV_ID_62, 0
D_70,DV_ID_70, 0
D_78,DV_ID_78, 0
D_82,DV_ID_82, 1
D_88,DV_ID_88, 0
D_89,DV_ID_89, 0
D_95,DV_ID_95, 0
D_100,DV_ID_100, 0
D_101,DV_ID_101, 1
D_103,DV_ID_103, 0
D_108,DV_ID_108, 0
D_113,DV_ID_113, 0
D_114,DV_ID_114, 0
D_117,DV_ID_117, 0
D_128,DV_ID_128, 0
D_130,DV_ID_130, 1
D_147,DV_ID_147, 0
D_148,DV_ID_148, 0
D_154,DV_ID_154, 0
D_166,DV_ID_166, 0
D_171,DV_ID_171, 0
D_172,DV_ID_172, 1
D_173,DV_ID_173, 0
D_174,DV_ID_174, 0
D_175,DV_ID_175, 0
D_181,DV_ID_181, 0
D_185,DV_ID_185, 0
D_192,DV_ID_192, 0
D_195,DV_ID_195, 1
D_201,DV_ID_201, 1
D_207,DV_ID_207, 0
D_213,DV_ID_213, 1
D_215,DV_ID_215, 0
D_219,DV_ID_219, 1
D_225,DV_ID_225, 0
D_227,DV_ID_227, 0
D_242,DV_ID_242, 0
D_246,DV_ID_246, 1
D_253,DV_ID_253, 0
D_269,DV_ID_269, 1
D_270,DV_ID_270, 0
D_276,DV_ID_276, 1
D_283,DV_ID_283, 0
D_285,DV_ID_285, 1
D_288,DV_ID_288, 0
D_294,DV_ID_294, 0
D_308,DV_ID_308, 1
D_320,DV_ID_320, 0
D_322,DV_ID_322, 0
D_323,DV_ID_323, 0
D_324,DV_ID_324, 1
D_325,DV_ID_325, 1
D_328,DV_ID_328, 0
D_330,DV_ID_330, 1
D_340,DV_ID_340, 0
D_342,DV_ID_342, 0
